Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20241211,TX     ,202412     ,150000,22864,80,-,-,*
20241211,TX     ,202412     ,150000,22865,12,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22867,6,-,-, 
20241211,TX     ,202412     ,150000,22868,4,-,-, 
20241211,TX     ,202412     ,150000,22869,6,-,-, 
20241211,TX     ,202412     ,150000,22865,2,-,-, 
20241211,TX     ,202412     ,150000,22870,2,-,-, 
20241211,TX     ,202412     ,150000,22870,22,-,-, 
20241211,TX     ,202412     ,150000,22871,4,-,-, 
20241211,TX     ,202412     ,150000,22869,2,-,-, 
20241211,TX     ,202412     ,150000,22871,2,-,-, 
20241211,TX     ,202412     ,150000,22868,2,-,-, 
20241211,TX     ,202412     ,150000,22866,2,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22864,4,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22872,2,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22872,2,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150000,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,4,-,-, 
20241211,TX     ,202412     ,150001,22863,2,-,-, 
20241211,TX     ,202412     ,150001,22870,2,-,-, 
20241211,TX     ,202412     ,150001,22863,4,-,-, 
20241211,TX     ,202412     ,150001,22863,2,-,-, 
20241211,TX     ,202412     ,150001,22863,2,-,-, 
20241211,TX     ,202412     ,150001,22863,2,-,-, 
20241211,TX     ,202412     ,150001,22863,2,-,-, 
20241211,TX     ,202412     ,150001,22863,4,-,-, 
20241211,TX     ,202412     ,150001,22862,2,-,-, 
20241211,TX     ,202412     ,150001,22862,2,-,-, 
20241211,TX     ,202412     ,150001,22868,2,-,-, 
20241211,TX     ,202412     ,150001,22870,2,-,-, 
20241211,TX     ,202412     ,150001,22872,2,-,-, 
20241211,TX     ,202412     ,150001,22873,2,-,-, 
20241211,TX     ,202412     ,150001,22867,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22864,2,-,-, 
20241211,TX     ,202412     ,150001,22863,2,-,-, 
20241211,TX     ,202412     ,150001,22869,2,-,-, 
20241211,TX     ,202412     ,150001,22868,2,-,-, 
20241211,TX     ,202412     ,150001,22870,2,-,-, 
20241211,TX     ,202412     ,150001,22871,2,-,-, 
20241211,TX     ,202412     ,150002,22868,2,-,-, 
20241211,TX     ,202412     ,150002,22867,2,-,-, 
20241211,TX     ,202412     ,150002,22869,2,-,-, 
20241211,TX     ,202412     ,150002,22872,2,-,-, 
20241211,TX     ,202412     ,150002,22873,8,-,-, 
20241211,TX     ,202412     ,150002,22874,16,-,-, 
20241211,TX     ,202412     ,150002,22875,8,-,-, 
20241211,TX     ,202412     ,150002,22871,2,-,-, 
20241211,TX     ,202412     ,150002,22875,2,-,-, 
20241211,TX     ,202412     ,150002,22870,2,-,-, 
20241211,TX     ,202412     ,150002,22868,2,-,-, 
20241211,TX     ,202412     ,150002,22870,4,-,-, 
20241211,TX     ,202412     ,150003,22868,2,-,-, 
20241211,TX     ,202412     ,150004,22874,2,-,-, 
20241211,TX     ,202412     ,150004,22870,2,-,-, 
20241211,TX     ,202412     ,150004,22869,2,-,-, 
20241211,TX     ,202412     ,150005,22873,2,-,-, 
20241211,TX     ,202412     ,150007,22873,2,-,-, 
20241211,TX     ,202412     ,150007,22871,2,-,-, 
20241211,TX     ,202412     ,150007,22870,2,-,-, 
20241211,TX     ,202412     ,150008,22871,2,-,-, 
20241211,TX     ,202412     ,150009,22872,4,-,-, 
20241211,TX     ,202412     ,150010,22872,6,-,-, 
20241211,TX     ,202412     ,150010,22872,2,-,-, 
20241211,TX     ,202412     ,150010,22871,2,-,-, 
20241211,TX     ,202412     ,150010,22871,2,-,-, 
20241211,TX     ,202412     ,150010,22871,2,-,-, 
20241211,TX     ,202412     ,150010,22872,2,-,-, 
20241211,TX     ,202412     ,150010,22872,8,-,-, 
20241211,TX     ,202412     ,150011,22872,2,-,-, 
20241211,TX     ,202412     ,150011,22872,2,-,-, 
20241211,TX     ,202412     ,150011,22872,2,-,-, 
20241211,TX     ,202412     ,150012,22874,2,-,-, 
20241211,TX     ,202412     ,150012,22874,6,-,-, 
20241211,TX     ,202412     ,150012,22875,4,-,-, 
20241211,TX     ,202412     ,150013,22872,2,-,-, 
20241211,TX     ,202412     ,150013,22872,2,-,-, 
20241211,TX     ,202412     ,150015,22872,2,-,-, 
20241211,TX     ,202412     ,150017,22874,2,-,-, 
20241211,TX     ,202412     ,150017,22876,4,-,-, 
20241211,TX     ,202412     ,150017,22877,2,-,-, 
20241211,TX     ,202412     ,150017,22875,2,-,-, 
20241211,TX     ,202412     ,150017,22877,2,-,-, 
20241211,TX     ,202412     ,150018,22874,2,-,-, 
20241211,TX     ,202412     ,150020,22877,2,-,-, 
20241211,TX     ,202412     ,150021,22876,2,-,-, 
20241211,TX     ,202412     ,150021,22875,2,-,-, 
20241211,TX     ,202412     ,150021,22875,2,-,-, 
20241211,TX     ,202412     ,150021,22875,2,-,-, 
20241211,TX     ,202412     ,150022,22874,2,-,-, 
20241211,TX     ,202412     ,150022,22874,2,-,-, 
20241211,TX     ,202412     ,150022,22874,2,-,-, 
20241211,TX     ,202412     ,150023,22874,2,-,-, 
20241211,TX     ,202412     ,150024,22876,2,-,-, 
20241211,TX     ,202412     ,150026,22874,2,-,-, 
20241211,TX     ,202412     ,150026,22876,2,-,-, 
20241211,TX     ,202412     ,150027,22876,4,-,-, 
20241211,TX     ,202412     ,150027,22877,2,-,-, 
20241211,TX     ,202412     ,150027,22874,2,-,-, 
20241211,TX     ,202412     ,150027,22874,6,-,-, 
20241211,TX     ,202412     ,150028,22873,2,-,-, 
20241211,TX     ,202412     ,150028,22874,4,-,-, 
20241211,TX     ,202412     ,150029,22873,2,-,-, 
20241211,TX     ,202412     ,150030,22873,2,-,-, 
20241211,TX     ,202412     ,150030,22873,2,-,-, 
20241211,TX     ,202412     ,150030,22873,2,-,-, 
20241211,TX     ,202412     ,150030,22873,2,-,-, 
20241211,TX     ,202412     ,150030,22873,2,-,-, 
20241211,TX     ,202412     ,150030,22873,2,-,-, 
20241211,TX     ,202412     ,150031,22874,2,-,-, 
20241211,TX     ,202412     ,150031,22873,2,-,-, 
20241211,TX     ,202412     ,150031,22873,2,-,-, 
20241211,TX     ,202412     ,150032,22874,2,-,-, 
20241211,TX     ,202412     ,150033,22875,2,-,-, 
20241211,TX     ,202412     ,150033,22873,4,-,-, 
20241211,TX     ,202412     ,150035,22873,4,-,-, 
20241211,TX     ,202412     ,150036,22874,2,-,-, 
20241211,TX     ,202412     ,150036,22875,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
20241211,TX     ,202412     ,150038,22873,2,-,-, 
