Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20250205,TX     ,202502     ,150000,23130,102,-,-,*
20250205,TX     ,202502     ,150000,23130,4,-,-, 
20250205,TX     ,202502     ,150000,23130,4,-,-, 
20250205,TX     ,202502     ,150000,23130,2,-,-, 
20250205,TX     ,202502     ,150000,23131,2,-,-, 
20250205,TX     ,202502     ,150000,23131,2,-,-, 
20250205,TX     ,202502     ,150000,23132,2,-,-, 
20250205,TX     ,202502     ,150000,23133,2,-,-, 
20250205,TX     ,202502     ,150000,23134,2,-,-, 
20250205,TX     ,202502     ,150000,23134,2,-,-, 
20250205,TX     ,202502     ,150000,23128,2,-,-, 
20250205,TX     ,202502     ,150000,23126,2,-,-, 
20250205,TX     ,202502     ,150000,23126,2,-,-, 
20250205,TX     ,202502     ,150000,23125,2,-,-, 
20250205,TX     ,202502     ,150000,23123,2,-,-, 
20250205,TX     ,202502     ,150000,23123,2,-,-, 
20250205,TX     ,202502     ,150000,23123,2,-,-, 
20250205,TX     ,202502     ,150000,23122,2,-,-, 
20250205,TX     ,202502     ,150000,23121,2,-,-, 
20250205,TX     ,202502     ,150000,23121,2,-,-, 
20250205,TX     ,202502     ,150000,23121,2,-,-, 
20250205,TX     ,202502     ,150000,23120,2,-,-, 
20250205,TX     ,202502     ,150000,23120,2,-,-, 
20250205,TX     ,202502     ,150000,23131,2,-,-, 
20250205,TX     ,202502     ,150000,23120,2,-,-, 
20250205,TX     ,202502     ,150000,23118,4,-,-, 
20250205,TX     ,202502     ,150000,23118,2,-,-, 
20250205,TX     ,202502     ,150000,23118,2,-,-, 
20250205,TX     ,202502     ,150000,23117,2,-,-, 
20250205,TX     ,202502     ,150000,23118,2,-,-, 
20250205,TX     ,202502     ,150000,23117,2,-,-, 
20250205,TX     ,202502     ,150000,23118,2,-,-, 
20250205,TX     ,202502     ,150000,23123,2,-,-, 
20250205,TX     ,202502     ,150000,23123,10,-,-, 
20250205,TX     ,202502     ,150000,23123,2,-,-, 
20250205,TX     ,202502     ,150000,23121,2,-,-, 
20250205,TX     ,202502     ,150000,23120,2,-,-, 
20250205,TX     ,202502     ,150000,23125,2,-,-, 
20250205,TX     ,202502     ,150000,23123,2,-,-, 
20250205,TX     ,202502     ,150000,23122,2,-,-, 
20250205,TX     ,202502     ,150000,23121,2,-,-, 
20250205,TX     ,202502     ,150001,23125,2,-,-, 
20250205,TX     ,202502     ,150001,23121,2,-,-, 
20250205,TX     ,202502     ,150001,23120,2,-,-, 
20250205,TX     ,202502     ,150001,23120,2,-,-, 
20250205,TX     ,202502     ,150001,23124,2,-,-, 
20250205,TX     ,202502     ,150002,23125,4,-,-, 
20250205,TX     ,202502     ,150002,23125,2,-,-, 
20250205,TX     ,202502     ,150002,23125,2,-,-, 
20250205,TX     ,202502     ,150002,23126,2,-,-, 
20250205,TX     ,202502     ,150002,23123,2,-,-, 
20250205,TX     ,202502     ,150002,23122,2,-,-, 
20250205,TX     ,202502     ,150002,23121,2,-,-, 
20250205,TX     ,202502     ,150002,23121,2,-,-, 
20250205,TX     ,202502     ,150003,23125,6,-,-, 
20250205,TX     ,202502     ,150003,23125,2,-,-, 
20250205,TX     ,202502     ,150003,23126,2,-,-, 
20250205,TX     ,202502     ,150003,23122,2,-,-, 
20250205,TX     ,202502     ,150003,23121,2,-,-, 
20250205,TX     ,202502     ,150003,23121,2,-,-, 
20250205,TX     ,202502     ,150003,23121,2,-,-, 
20250205,TX     ,202502     ,150003,23120,2,-,-, 
20250205,TX     ,202502     ,150003,23120,2,-,-, 
20250205,TX     ,202502     ,150003,23120,2,-,-, 
20250205,TX     ,202502     ,150004,23120,2,-,-, 
20250205,TX     ,202502     ,150005,23124,2,-,-, 
20250205,TX     ,202502     ,150005,23120,2,-,-, 
20250205,TX     ,202502     ,150005,23121,2,-,-, 
20250205,TX     ,202502     ,150005,23122,2,-,-, 
20250205,TX     ,202502     ,150006,23120,2,-,-, 
20250205,TX     ,202502     ,150006,23121,2,-,-, 
20250205,TX     ,202502     ,150006,23121,2,-,-, 
20250205,TX     ,202502     ,150006,23121,2,-,-, 
20250205,TX     ,202502     ,150006,23120,2,-,-, 
20250205,TX     ,202502     ,150007,23120,2,-,-, 
20250205,TX     ,202502     ,150007,23119,2,-,-, 
20250205,TX     ,202502     ,150007,23118,2,-,-, 
20250205,TX     ,202502     ,150007,23118,2,-,-, 
20250205,TX     ,202502     ,150007,23117,2,-,-, 
20250205,TX     ,202502     ,150007,23117,2,-,-, 
20250205,TX     ,202502     ,150007,23120,2,-,-, 
20250205,TX     ,202502     ,150007,23121,2,-,-, 
20250205,TX     ,202502     ,150007,23121,2,-,-, 
20250205,TX     ,202502     ,150007,23122,2,-,-, 
20250205,TX     ,202502     ,150008,23121,2,-,-, 
20250205,TX     ,202502     ,150008,23120,4,-,-, 
20250205,TX     ,202502     ,150010,23122,2,-,-, 
20250205,TX     ,202502     ,150010,23120,2,-,-, 
20250205,TX     ,202502     ,150010,23121,2,-,-, 
20250205,TX     ,202502     ,150011,23122,2,-,-, 
20250205,TX     ,202502     ,150013,23122,2,-,-, 
20250205,TX     ,202502     ,150013,23122,2,-,-, 
20250205,TX     ,202502     ,150015,23122,2,-,-, 
20250205,TX     ,202502     ,150015,23123,2,-,-, 
20250205,TX     ,202502     ,150015,23124,2,-,-, 
20250205,TX     ,202502     ,150016,23122,2,-,-, 
20250205,TX     ,202502     ,150018,23125,4,-,-, 
20250205,TX     ,202502     ,150018,23126,4,-,-, 
20250205,TX     ,202502     ,150018,23122,2,-,-, 
20250205,TX     ,202502     ,150019,23121,2,-,-, 
20250205,TX     ,202502     ,150019,23125,2,-,-, 
20250205,TX     ,202502     ,150019,23126,2,-,-, 
20250205,TX     ,202502     ,150019,23126,2,-,-, 
20250205,TX     ,202502     ,150020,23126,2,-,-, 
20250205,TX     ,202502     ,150020,23127,2,-,-, 
20250205,TX     ,202502     ,150020,23127,2,-,-, 
20250205,TX     ,202502     ,150020,23128,2,-,-, 
20250205,TX     ,202502     ,150020,23128,2,-,-, 
20250205,TX     ,202502     ,150020,23129,4,-,-, 
20250205,TX     ,202502     ,150020,23130,4,-,-, 
20250205,TX     ,202502     ,150020,23130,4,-,-, 
20250205,TX     ,202502     ,150020,23130,2,-,-, 
20250205,TX     ,202502     ,150020,23130,2,-,-, 
20250205,TX     ,202502     ,150020,23130,2,-,-, 
20250205,TX     ,202502     ,150020,23126,2,-,-, 
20250205,TX     ,202502     ,150020,23125,2,-,-, 
20250205,TX     ,202502     ,150023,23127,2,-,-, 
20250205,TX     ,202502     ,150023,23126,2,-,-, 
20250205,TX     ,202502     ,150024,23125,2,-,-, 
20250205,TX     ,202502     ,150026,23125,2,-,-, 
20250205,TX     ,202502     ,150026,23125,2,-,-, 
20250205,TX     ,202502     ,150026,23127,8,-,-, 
20250205,TX     ,202502     ,150026,23128,2,-,-, 
20250205,TX     ,202502     ,150027,23126,2,-,-, 
20250205,TX     ,202502     ,150027,23128,2,-,-, 
20250205,TX     ,202502     ,150027,23128,2,-,-, 
